project_id,project_name,category,business_unit,priority,project_manager,start_date,planned_duration_days,budget_usd,complexity_score,team_size,planned_end_date,status,progress_percent,schedule_variance_days,actual_end_date,budget_variance_pct,actual_cost_usd,expected_roi_pct,business_value_score,risk_score,quality_score,stakeholder_satisfaction
ADV-0132,Cloud Migration Project 132,Cloud Migration,Technology,High,PM L,2023-10-05,376,332272,9,11,2024-10-15,Completed,100.0,-287,2025-07-29,0.15682612727411258,384380.9309616239,137,10,6,9,6
ADV-0133,AI/ML Implementation Project 133,Software Development,Marketing,Medium,PM M,2024-06-16,81,435925,5,24,2024-09-05,Completed,100.0,-328,2025-07-30,0.5,653887.5,103,8,6,7,5
ADV-0134,Cloud Migration Project 134,AI/ML Implementation,Operations,Critical,PM N,2024-03-14,385,816641,9,24,2025-04-03,Completed,100.0,-118,2025-07-30,0.2523339671774136,1022707.2632897303,42,2,2,10,6
ADV-0135,Data Analytics Project 135,Software Development,Marketing,High,PM O,2024-03-02,60,764743,10,13,2024-05-01,Delayed,80.0,-467,2024-05-01,0.5,1147114.5,80,6,7,9,10
ADV-0136,Data Analytics Project 136,Cloud Migration,Marketing,Medium,PM P,2023-10-13,192,639833,4,16,2024-04-22,Completed,100.0,-463,2025-07-29,0.4335568262071843,917236.9647826214,19,5,2,10,8
ADV-0137,AI/ML Implementation Project 137,AI/ML Implementation,Finance,Medium,PM Q,2024-06-17,292,1180756,9,6,2025-04-05,Completed,100.0,-116,2025-07-30,0.1479002770541408,1355390.139533339,59,10,6,8,10
ADV-0138,Digital Transformation Project 138,Cloud Migration,Operations,High,PM R,2024-03-26,71,453081,5,15,2024-06-05,Completed,100.0,-420,2025-07-30,0.5,679621.5,61,9,1,8,8
ADV-0139,Digital Transformation Project 139,Data Analytics,Marketing,High,PM S,2024-01-06,405,969723,10,4,2025-02-14,Completed,100.0,-165,2025-07-29,0.30956426944312027,1269914.5920571908,45,5,3,9,9
ADV-0140,Cloud Migration Project 140,AI/ML Implementation,Technology,Critical,PM T,2024-03-25,105,351953,9,7,2024-07-08,Delayed,87.0,-400,2024-07-08,0.5,527929.5,24,2,2,10,8
ADV-0141,Software Development Project 141,Data Analytics,Technology,Low,PM A,2023-12-22,93,428892,3,13,2024-03-24,Delayed,89.0,-503,2024-03-24,0.5,643338.0,132,5,7,10,7
ADV-0142,Cloud Migration Project 142,Software Development,HR,Medium,PM B,2023-12-03,137,55287,4,8,2024-04-18,Completed,100.0,-468,2025-07-30,0.5,82930.5,28,4,4,10,10
ADV-0143,AI/ML Implementation Project 143,Software Development,Operations,Medium,PM C,2023-09-21,277,1356241,9,20,2024-06-24,Completed,100.0,-401,2025-07-30,0.22407445908893683,1660139.9684692386,94,7,8,7,5
ADV-0144,AI/ML Implementation Project 144,AI/ML Implementation,Operations,Low,PM D,2023-08-10,360,1107088,10,23,2024-08-04,Delayed,83.0,-421,2024-08-04,0.4061900971353639,1556776.1822573957,107,6,6,8,9
ADV-0145,AI/ML Implementation Project 145,AI/ML Implementation,HR,Critical,PM E,2024-02-16,132,706702,6,12,2024-06-27,Delayed,78.0,-427,2024-06-27,0.4654157809115148,1035612.2632017293,24,2,10,10,7
ADV-0146,AI/ML Implementation Project 146,Cloud Migration,Marketing,Medium,PM F,2024-02-08,341,1207448,2,6,2025-01-14,Completed,100.0,-196,2025-07-29,0.16377402842059993,1405196.6230683965,90,5,4,10,6
ADV-0147,AI/ML Implementation Project 147,Cloud Migration,Operations,Medium,PM G,2023-07-17,308,143070,7,11,2024-05-20,Delayed,88.0,-472,2024-05-20,0.29972868298887506,185952.18267521836,108,7,5,7,10
ADV-0148,Data Analytics Project 148,Data Analytics,Technology,High,PM H,2024-06-21,106,672117,2,8,2024-10-05,Delayed,79.0,-320,2024-10-05,0.4707613263022009,988523.6903502563,119,7,9,7,5
ADV-0149,Digital Transformation Project 149,AI/ML Implementation,Technology,Medium,PM I,2023-06-25,180,994118,2,4,2023-12-22,Completed,100.0,-586,2025-07-30,0.2703061852514465,1262834.2442697976,15,5,7,10,8
ADV-0150,AI/ML Implementation Project 150,Software Development,Finance,Medium,PM J,2023-07-27,273,1061293,1,19,2024-04-25,Completed,100.0,-461,2025-07-30,0.15644784724671076,1227330.0051480033,147,9,10,6,5
