project_id,milestone_name,milestone_type,planned_date,actual_date,status,importance_score
ADV-0051,Planning Complete - AI/ML Implementation Project 051,Planning Complete,2024-02-26,2024-03-08,Completed,5
ADV-0051,Design Approved - AI/ML Implementation Project 051,Design Approved,2024-05-24,2024-06-06,Completed,3
ADV-0051,Development Complete - AI/ML Implementation Project 051,Development Complete,2024-08-19,2024-08-20,Completed,1
ADV-0051,Testing Complete - AI/ML Implementation Project 051,Testing Complete,2024-11-15,2024-11-16,Completed,5
ADV-0051,Deployment - AI/ML Implementation Project 051,Deployment,2025-02-11,2025-02-16,Completed,3
ADV-0052,Initiation - AI/ML Implementation Project 052,Initiation,2023-11-24,2023-11-29,Completed,5
ADV-0052,Planning Complete - AI/ML Implementation Project 052,Planning Complete,2024-03-05,2024-03-13,Completed,5
ADV-0052,Design Approved - AI/ML Implementation Project 052,Design Approved,2024-06-15,2024-06-10,Completed,4
ADV-0052,Development Complete - AI/ML Implementation Project 052,Development Complete,2024-09-26,2024-10-09,Completed,4
ADV-0052,Testing Complete - AI/ML Implementation Project 052,Testing Complete,2025-01-06,2025-01-08,Completed,5
ADV-0052,Deployment - AI/ML Implementation Project 052,Deployment,2025-04-18,2025-04-25,Completed,4
ADV-0052,Go-Live - AI/ML Implementation Project 052,Go-Live,2025-07-30,2025-08-09,Completed,1
ADV-0053,Initiation - AI/ML Implementation Project 053,Initiation,2024-04-05,2024-04-12,Completed,2
ADV-0053,Planning Complete - AI/ML Implementation Project 053,Planning Complete,2024-06-24,2024-06-25,Completed,4
ADV-0053,Design Approved - AI/ML Implementation Project 053,Design Approved,2024-09-12,2024-09-11,Completed,1
ADV-0053,Development Complete - AI/ML Implementation Project 053,Development Complete,2024-12-01,2024-12-09,Completed,5
ADV-0053,Testing Complete - AI/ML Implementation Project 053,Testing Complete,2025-02-19,2025-02-28,Completed,1
ADV-0053,Deployment - AI/ML Implementation Project 053,Deployment,2025-05-10,2025-05-19,Completed,4
ADV-0053,Go-Live - AI/ML Implementation Project 053,Go-Live,2025-07-29,2025-08-10,Completed,2
ADV-0054,Initiation - Cloud Migration Project 054,Initiation,2023-10-14,2023-10-10,Completed,4
ADV-0054,Planning Complete - Cloud Migration Project 054,Planning Complete,2024-05-19,2024-05-14,Completed,4
ADV-0054,Design Approved - Cloud Migration Project 054,Design Approved,2024-12-23,2025-01-04,Completed,5
ADV-0054,Development Complete - Cloud Migration Project 054,Development Complete,2025-07-30,2025-08-12,Completed,4
ADV-0055,Initiation - Data Analytics Project 055,Initiation,2023-06-23,2023-06-25,Completed,4
ADV-0055,Planning Complete - Data Analytics Project 055,Planning Complete,2023-09-04,2023-09-15,Completed,1
ADV-0055,Design Approved - Data Analytics Project 055,Design Approved,2023-11-17,2023-11-23,Completed,2
ADV-0055,Development Complete - Data Analytics Project 055,Development Complete,2024-01-30,2024-02-12,Completed,1
ADV-0055,Testing Complete - Data Analytics Project 055,Testing Complete,2024-04-13,2024-04-14,Completed,2
ADV-0056,Initiation - Software Development Project 056,Initiation,2024-06-08,2024-06-11,Completed,2
ADV-0056,Planning Complete - Software Development Project 056,Planning Complete,2024-09-28,2024-09-24,Completed,3
ADV-0056,Design Approved - Software Development Project 056,Design Approved,2025-01-18,2025-01-23,Completed,5
ADV-0056,Development Complete - Software Development Project 056,Development Complete,2025-05-10,2025-05-14,Completed,2
ADV-0056,Testing Complete - Software Development Project 056,Testing Complete,2025-08-30,,Pending,3
ADV-0057,Initiation - AI/ML Implementation Project 057,Initiation,2024-01-22,2024-01-25,Completed,1
ADV-0057,Planning Complete - AI/ML Implementation Project 057,Planning Complete,2024-04-24,2024-04-25,Completed,4
ADV-0057,Design Approved - AI/ML Implementation Project 057,Design Approved,2024-07-27,2024-07-24,Completed,4
ADV-0057,Development Complete - AI/ML Implementation Project 057,Development Complete,2024-10-29,2024-10-29,Completed,3
ADV-0058,Initiation - Digital Transformation Project 058,Initiation,2024-03-01,2024-02-26,Completed,5
ADV-0058,Planning Complete - Digital Transformation Project 058,Planning Complete,2024-05-02,2024-05-02,Completed,3
ADV-0058,Design Approved - Digital Transformation Project 058,Design Approved,2024-07-03,2024-07-13,Completed,2
ADV-0058,Development Complete - Digital Transformation Project 058,Development Complete,2024-09-03,2024-09-14,Completed,1
ADV-0058,Testing Complete - Digital Transformation Project 058,Testing Complete,2024-11-04,2024-11-10,Completed,3
ADV-0058,Deployment - Digital Transformation Project 058,Deployment,2025-01-05,2025-01-10,Completed,1
ADV-0059,Initiation - AI/ML Implementation Project 059,Initiation,2023-08-03,2023-08-10,Completed,2
ADV-0059,Planning Complete - AI/ML Implementation Project 059,Planning Complete,2024-04-01,2024-03-31,Completed,5
ADV-0059,Design Approved - AI/ML Implementation Project 059,Design Approved,2024-11-29,2024-12-10,Completed,1
ADV-0059,Development Complete - AI/ML Implementation Project 059,Development Complete,2025-07-30,2025-07-30,Completed,4
ADV-0060,Initiation - Digital Transformation Project 060,Initiation,2023-12-11,2023-12-16,Completed,2
ADV-0060,Planning Complete - Digital Transformation Project 060,Planning Complete,2024-05-08,2024-05-06,Completed,3
ADV-0060,Design Approved - Digital Transformation Project 060,Design Approved,2024-10-04,2024-10-11,Completed,1
ADV-0060,Development Complete - Digital Transformation Project 060,Development Complete,2025-03-02,2025-03-02,Completed,2
ADV-0060,Testing Complete - Digital Transformation Project 060,Testing Complete,2025-07-30,2025-08-05,Completed,2
ADV-0061,Initiation - Digital Transformation Project 061,Initiation,2023-07-11,2023-07-08,Completed,3
ADV-0061,Planning Complete - Digital Transformation Project 061,Planning Complete,2024-01-14,2024-01-20,Completed,1
ADV-0061,Design Approved - Digital Transformation Project 061,Design Approved,2024-07-20,2024-07-22,Completed,3
ADV-0061,Development Complete - Digital Transformation Project 061,Development Complete,2025-01-23,2025-02-02,Completed,2
ADV-0061,Testing Complete - Digital Transformation Project 061,Testing Complete,2025-07-30,2025-07-28,Completed,4
ADV-0062,Initiation - AI/ML Implementation Project 062,Initiation,2024-03-09,2024-03-04,Completed,2
ADV-0062,Planning Complete - AI/ML Implementation Project 062,Planning Complete,2024-07-07,2024-07-06,Completed,4
ADV-0062,Design Approved - AI/ML Implementation Project 062,Design Approved,2024-11-05,2024-11-04,Completed,1
ADV-0062,Development Complete - AI/ML Implementation Project 062,Development Complete,2025-03-06,2025-03-01,Completed,4
ADV-0063,Initiation - Cloud Migration Project 063,Initiation,2023-10-29,2023-11-11,Completed,5
ADV-0063,Planning Complete - Cloud Migration Project 063,Planning Complete,2024-01-25,2024-01-29,Completed,4
ADV-0063,Design Approved - Cloud Migration Project 063,Design Approved,2024-04-23,2024-05-05,Completed,4
ADV-0063,Development Complete - Cloud Migration Project 063,Development Complete,2024-07-21,2024-07-18,Completed,3
ADV-0064,Initiation - Digital Transformation Project 064,Initiation,2024-04-17,2024-04-26,Completed,3
ADV-0064,Planning Complete - Digital Transformation Project 064,Planning Complete,2024-09-20,2024-09-25,Completed,1
ADV-0064,Design Approved - Digital Transformation Project 064,Design Approved,2025-02-23,2025-03-06,Completed,5
ADV-0064,Development Complete - Digital Transformation Project 064,Development Complete,2025-07-30,2025-08-01,Completed,2
ADV-0065,Initiation - Digital Transformation Project 065,Initiation,2024-04-12,2024-04-22,Completed,4
ADV-0065,Planning Complete - Digital Transformation Project 065,Planning Complete,2024-07-21,2024-07-27,Completed,1
ADV-0065,Design Approved - Digital Transformation Project 065,Design Approved,2024-10-29,2024-10-27,Completed,1
ADV-0065,Development Complete - Digital Transformation Project 065,Development Complete,2025-02-06,2025-02-13,Completed,2
ADV-0065,Testing Complete - Digital Transformation Project 065,Testing Complete,2025-05-17,2025-05-16,Completed,3
ADV-0066,Initiation - AI/ML Implementation Project 066,Initiation,2023-12-03,2023-11-30,Completed,3
ADV-0066,Planning Complete - AI/ML Implementation Project 066,Planning Complete,2024-06-21,2024-06-28,Completed,4
ADV-0066,Design Approved - AI/ML Implementation Project 066,Design Approved,2025-01-09,2025-01-17,Completed,3
ADV-0066,Development Complete - AI/ML Implementation Project 066,Development Complete,2025-07-30,2025-08-03,Completed,3
ADV-0067,Initiation - Digital Transformation Project 067,Initiation,2024-03-22,2024-04-03,Completed,3
ADV-0067,Planning Complete - Digital Transformation Project 067,Planning Complete,2024-09-02,2024-09-11,Completed,5
ADV-0067,Design Approved - Digital Transformation Project 067,Design Approved,2025-02-14,2025-02-18,Completed,5
ADV-0067,Development Complete - Digital Transformation Project 067,Development Complete,2025-07-29,2025-07-28,Completed,2
ADV-0068,Initiation - Digital Transformation Project 068,Initiation,2023-09-07,2023-09-06,Completed,3
ADV-0068,Planning Complete - Digital Transformation Project 068,Planning Complete,2023-10-09,2023-10-09,Completed,4
ADV-0068,Design Approved - Digital Transformation Project 068,Design Approved,2023-11-10,2023-11-22,Completed,4
ADV-0068,Development Complete - Digital Transformation Project 068,Development Complete,2023-12-13,2023-12-16,Completed,1
ADV-0068,Testing Complete - Digital Transformation Project 068,Testing Complete,2024-01-14,2024-01-21,Completed,3
ADV-0068,Deployment - Digital Transformation Project 068,Deployment,2024-02-16,2024-02-25,Completed,4
ADV-0069,Initiation - AI/ML Implementation Project 069,Initiation,2024-05-26,2024-06-06,Completed,5
ADV-0069,Planning Complete - AI/ML Implementation Project 069,Planning Complete,2024-08-17,2024-08-27,Completed,4
ADV-0069,Design Approved - AI/ML Implementation Project 069,Design Approved,2024-11-09,2024-11-08,Completed,5
ADV-0069,Development Complete - AI/ML Implementation Project 069,Development Complete,2025-02-01,2025-02-04,Completed,1
ADV-0070,Initiation - AI/ML Implementation Project 070,Initiation,2023-07-06,2023-07-13,Completed,2
ADV-0070,Planning Complete - AI/ML Implementation Project 070,Planning Complete,2024-01-10,2024-01-17,Completed,5
ADV-0070,Design Approved - AI/ML Implementation Project 070,Design Approved,2024-07-17,2024-07-30,Completed,3
ADV-0070,Development Complete - AI/ML Implementation Project 070,Development Complete,2025-01-22,2025-01-26,Completed,2
ADV-0070,Testing Complete - AI/ML Implementation Project 070,Testing Complete,2025-07-30,2025-08-06,Completed,3
ADV-0071,Initiation - Software Development Project 071,Initiation,2023-06-24,2023-07-05,Completed,5
ADV-0071,Planning Complete - Software Development Project 071,Planning Complete,2023-11-24,2023-12-02,Completed,4
ADV-0071,Design Approved - Software Development Project 071,Design Approved,2024-04-25,2024-05-01,Completed,3
ADV-0071,Development Complete - Software Development Project 071,Development Complete,2024-09-25,2024-09-26,Completed,4
ADV-0071,Testing Complete - Software Development Project 071,Testing Complete,2025-02-25,2025-03-10,Completed,1
ADV-0071,Deployment - Software Development Project 071,Deployment,2025-07-29,2025-07-26,Completed,5
ADV-0072,Initiation - Cloud Migration Project 072,Initiation,2024-05-04,2024-05-13,Completed,2
ADV-0072,Planning Complete - Cloud Migration Project 072,Planning Complete,2024-07-18,2024-07-23,Completed,4
ADV-0072,Design Approved - Cloud Migration Project 072,Design Approved,2024-10-01,2024-10-14,Completed,5
ADV-0072,Development Complete - Cloud Migration Project 072,Development Complete,2024-12-16,2024-12-27,Completed,3
ADV-0072,Testing Complete - Cloud Migration Project 072,Testing Complete,2025-03-01,2025-03-13,Completed,1
ADV-0072,Deployment - Cloud Migration Project 072,Deployment,2025-05-15,2025-05-28,Completed,5
ADV-0072,Go-Live - Cloud Migration Project 072,Go-Live,2025-07-30,2025-07-31,Completed,5
ADV-0073,Initiation - Cloud Migration Project 073,Initiation,2023-09-25,2023-09-27,Completed,4
ADV-0073,Planning Complete - Cloud Migration Project 073,Planning Complete,2024-03-11,2024-03-10,Completed,1
ADV-0073,Design Approved - Cloud Migration Project 073,Design Approved,2024-08-27,2024-08-26,Completed,4
ADV-0073,Development Complete - Cloud Migration Project 073,Development Complete,2025-02-11,2025-02-24,Completed,3
ADV-0073,Testing Complete - Cloud Migration Project 073,Testing Complete,2025-07-30,2025-07-26,Completed,3
ADV-0074,Initiation - Digital Transformation Project 074,Initiation,2024-06-30,2024-07-07,Completed,4
ADV-0074,Planning Complete - Digital Transformation Project 074,Planning Complete,2024-10-06,2024-10-11,Completed,4
ADV-0074,Design Approved - Digital Transformation Project 074,Design Approved,2025-01-13,2025-01-12,Completed,1
ADV-0074,Development Complete - Digital Transformation Project 074,Development Complete,2025-04-22,2025-05-06,Completed,1
ADV-0074,Testing Complete - Digital Transformation Project 074,Testing Complete,2025-07-30,2025-08-07,Completed,2
ADV-0075,Initiation - Cloud Migration Project 075,Initiation,2023-10-27,2023-11-02,Completed,1
ADV-0075,Planning Complete - Cloud Migration Project 075,Planning Complete,2024-02-10,2024-02-23,Completed,3
ADV-0075,Design Approved - Cloud Migration Project 075,Design Approved,2024-05-27,2024-06-06,Completed,4
ADV-0075,Development Complete - Cloud Migration Project 075,Development Complete,2024-09-11,2024-09-17,Completed,4
ADV-0075,Testing Complete - Cloud Migration Project 075,Testing Complete,2024-12-27,2024-12-27,Completed,2
ADV-0075,Deployment - Cloud Migration Project 075,Deployment,2025-04-13,2025-04-11,Completed,3
ADV-0075,Go-Live - Cloud Migration Project 075,Go-Live,2025-07-29,2025-07-24,Completed,3
ADV-0076,Initiation - Digital Transformation Project 076,Initiation,2023-07-11,2023-07-16,Completed,1
ADV-0076,Planning Complete - Digital Transformation Project 076,Planning Complete,2023-10-05,2023-10-18,Completed,2
ADV-0076,Design Approved - Digital Transformation Project 076,Design Approved,2023-12-30,2024-01-10,Completed,3
ADV-0076,Development Complete - Digital Transformation Project 076,Development Complete,2024-03-25,2024-04-02,Completed,3
ADV-0076,Testing Complete - Digital Transformation Project 076,Testing Complete,2024-06-20,2024-07-02,Completed,4
ADV-0077,Initiation - Software Development Project 077,Initiation,2023-09-28,2023-10-11,Completed,4
ADV-0077,Planning Complete - Software Development Project 077,Planning Complete,2024-01-17,2024-01-18,Completed,5
ADV-0077,Design Approved - Software Development Project 077,Design Approved,2024-05-08,2024-05-05,Completed,1
ADV-0077,Development Complete - Software Development Project 077,Development Complete,2024-08-28,2024-08-30,Completed,4
ADV-0077,Testing Complete - Software Development Project 077,Testing Complete,2024-12-18,2024-12-25,Completed,1
ADV-0077,Deployment - Software Development Project 077,Deployment,2025-04-09,2025-04-20,Completed,1
ADV-0077,Go-Live - Software Development Project 077,Go-Live,2025-07-30,2025-07-25,Completed,3
ADV-0078,Initiation - AI/ML Implementation Project 078,Initiation,2023-07-22,2023-07-22,Completed,3
ADV-0078,Planning Complete - AI/ML Implementation Project 078,Planning Complete,2023-11-22,2023-11-21,Completed,5
ADV-0078,Design Approved - AI/ML Implementation Project 078,Design Approved,2024-03-24,2024-04-02,Completed,5
ADV-0078,Development Complete - AI/ML Implementation Project 078,Development Complete,2024-07-25,2024-08-04,Completed,2
ADV-0078,Testing Complete - AI/ML Implementation Project 078,Testing Complete,2024-11-25,2024-11-30,Completed,3
ADV-0078,Deployment - AI/ML Implementation Project 078,Deployment,2025-03-28,2025-04-01,Completed,2
ADV-0078,Go-Live - AI/ML Implementation Project 078,Go-Live,2025-07-30,2025-08-09,Completed,4
ADV-0079,Initiation - AI/ML Implementation Project 079,Initiation,2023-12-12,2023-12-08,Completed,1
ADV-0079,Planning Complete - AI/ML Implementation Project 079,Planning Complete,2024-05-09,2024-05-06,Completed,1
ADV-0079,Design Approved - AI/ML Implementation Project 079,Design Approved,2024-10-05,2024-10-14,Completed,3
ADV-0079,Development Complete - AI/ML Implementation Project 079,Development Complete,2025-03-03,2025-03-16,Completed,2
ADV-0079,Testing Complete - AI/ML Implementation Project 079,Testing Complete,2025-07-30,2025-08-01,Completed,2
ADV-0080,Initiation - AI/ML Implementation Project 080,Initiation,2023-10-21,2023-11-01,Completed,3
ADV-0080,Planning Complete - AI/ML Implementation Project 080,Planning Complete,2024-05-24,2024-05-19,Completed,4
ADV-0080,Design Approved - AI/ML Implementation Project 080,Design Approved,2024-12-26,2024-12-25,Completed,1
ADV-0080,Development Complete - AI/ML Implementation Project 080,Development Complete,2025-07-30,2025-08-08,Completed,5
ADV-0081,Initiation - Cloud Migration Project 081,Initiation,2024-01-19,2024-01-26,Completed,5
ADV-0081,Planning Complete - Cloud Migration Project 081,Planning Complete,2024-07-23,2024-07-26,Completed,1
ADV-0081,Design Approved - Cloud Migration Project 081,Design Approved,2025-01-25,2025-01-23,Completed,3
ADV-0081,Development Complete - Cloud Migration Project 081,Development Complete,2025-07-30,2025-07-26,Completed,1
ADV-0082,Initiation - Software Development Project 082,Initiation,2024-04-21,2024-04-17,Completed,4
ADV-0082,Planning Complete - Software Development Project 082,Planning Complete,2024-07-07,2024-07-07,Completed,3
ADV-0082,Design Approved - Software Development Project 082,Design Approved,2024-09-23,2024-09-20,Completed,3
ADV-0082,Development Complete - Software Development Project 082,Development Complete,2024-12-09,2024-12-17,Completed,4
ADV-0082,Testing Complete - Software Development Project 082,Testing Complete,2025-02-25,2025-03-04,Completed,5
ADV-0082,Deployment - Software Development Project 082,Deployment,2025-05-13,2025-05-09,Completed,5
ADV-0082,Go-Live - Software Development Project 082,Go-Live,2025-07-30,2025-08-12,Completed,3
ADV-0083,Initiation - Cloud Migration Project 083,Initiation,2023-12-04,2023-12-04,Completed,2
ADV-0083,Planning Complete - Cloud Migration Project 083,Planning Complete,2024-04-02,2024-04-04,Completed,1
ADV-0083,Design Approved - Cloud Migration Project 083,Design Approved,2024-08-01,2024-07-28,Completed,2
ADV-0083,Development Complete - Cloud Migration Project 083,Development Complete,2024-11-30,2024-12-10,Completed,4
ADV-0083,Testing Complete - Cloud Migration Project 083,Testing Complete,2025-03-31,2025-03-27,Completed,2
ADV-0083,Deployment - Cloud Migration Project 083,Deployment,2025-07-30,2025-08-06,Completed,4
ADV-0084,Initiation - Cloud Migration Project 084,Initiation,2023-08-23,2023-08-19,Completed,3
ADV-0084,Planning Complete - Cloud Migration Project 084,Planning Complete,2023-12-18,2023-12-20,Completed,3
ADV-0084,Design Approved - Cloud Migration Project 084,Design Approved,2024-04-14,2024-04-15,Completed,5
ADV-0084,Development Complete - Cloud Migration Project 084,Development Complete,2024-08-10,2024-08-11,Completed,1
ADV-0084,Testing Complete - Cloud Migration Project 084,Testing Complete,2024-12-05,2024-12-16,Completed,1
ADV-0084,Deployment - Cloud Migration Project 084,Deployment,2025-04-02,2025-04-09,Completed,5
ADV-0084,Go-Live - Cloud Migration Project 084,Go-Live,2025-07-29,2025-08-11,Completed,5
ADV-0085,Initiation - Software Development Project 085,Initiation,2023-12-07,2023-12-20,Completed,1
ADV-0085,Planning Complete - Software Development Project 085,Planning Complete,2024-01-03,2024-01-14,Completed,2
ADV-0085,Design Approved - Software Development Project 085,Design Approved,2024-01-31,2024-02-04,Completed,4
ADV-0085,Development Complete - Software Development Project 085,Development Complete,2024-02-27,2024-02-29,Completed,4
ADV-0085,Testing Complete - Software Development Project 085,Testing Complete,2024-03-26,2024-04-09,Completed,2
ADV-0085,Deployment - Software Development Project 085,Deployment,2024-04-22,2024-04-30,Completed,2
ADV-0085,Go-Live - Software Development Project 085,Go-Live,2024-05-20,2024-05-28,Completed,4
ADV-0086,Initiation - Software Development Project 086,Initiation,2023-11-29,2023-12-08,Completed,4
ADV-0086,Planning Complete - Software Development Project 086,Planning Complete,2024-03-09,2024-03-16,Completed,3
ADV-0086,Design Approved - Software Development Project 086,Design Approved,2024-06-19,2024-06-21,Completed,2
ADV-0086,Development Complete - Software Development Project 086,Development Complete,2024-09-28,2024-10-04,Completed,2
ADV-0086,Testing Complete - Software Development Project 086,Testing Complete,2025-01-08,2025-01-20,Completed,2
ADV-0086,Deployment - Software Development Project 086,Deployment,2025-04-19,2025-04-24,Completed,1
ADV-0086,Go-Live - Software Development Project 086,Go-Live,2025-07-30,2025-08-05,Completed,1
ADV-0087,Initiation - Software Development Project 087,Initiation,2023-09-16,2023-09-25,Completed,1
ADV-0087,Planning Complete - Software Development Project 087,Planning Complete,2024-04-30,2024-05-11,Completed,2
ADV-0087,Design Approved - Software Development Project 087,Design Approved,2024-12-14,2024-12-26,Completed,1
ADV-0087,Development Complete - Software Development Project 087,Development Complete,2025-07-30,2025-08-11,Completed,1
ADV-0088,Initiation - Software Development Project 088,Initiation,2024-05-09,2024-05-09,Completed,5
ADV-0088,Planning Complete - Software Development Project 088,Planning Complete,2024-10-05,2024-10-11,Completed,1
ADV-0088,Design Approved - Software Development Project 088,Design Approved,2025-03-03,2025-03-08,Completed,1
ADV-0088,Development Complete - Software Development Project 088,Development Complete,2025-07-30,2025-07-25,Completed,3
ADV-0089,Initiation - AI/ML Implementation Project 089,Initiation,2023-10-15,2023-10-28,Completed,1
ADV-0089,Planning Complete - AI/ML Implementation Project 089,Planning Complete,2024-05-20,2024-05-16,Completed,4
ADV-0089,Design Approved - AI/ML Implementation Project 089,Design Approved,2024-12-24,2024-12-22,Completed,4
ADV-0089,Development Complete - AI/ML Implementation Project 089,Development Complete,2025-07-30,2025-08-11,Completed,3
ADV-0090,Initiation - Data Analytics Project 090,Initiation,2024-05-25,2024-06-01,Completed,3
ADV-0090,Planning Complete - Data Analytics Project 090,Planning Complete,2024-08-07,2024-08-18,Completed,4
ADV-0090,Design Approved - Data Analytics Project 090,Design Approved,2024-10-21,2024-11-03,Completed,5
ADV-0090,Development Complete - Data Analytics Project 090,Development Complete,2025-01-03,2025-01-14,Completed,2
ADV-0090,Testing Complete - Data Analytics Project 090,Testing Complete,2025-03-19,2025-03-14,Completed,4
ADV-0090,Deployment - Data Analytics Project 090,Deployment,2025-06-01,2025-06-05,Completed,5
ADV-0090,Go-Live - Data Analytics Project 090,Go-Live,2025-08-15,,Pending,5
ADV-0091,Initiation - Data Analytics Project 091,Initiation,2024-05-15,2024-05-20,Completed,5
ADV-0091,Planning Complete - Data Analytics Project 091,Planning Complete,2024-08-11,2024-08-10,Completed,1
ADV-0091,Design Approved - Data Analytics Project 091,Design Approved,2024-11-07,2024-11-13,Completed,3
ADV-0091,Development Complete - Data Analytics Project 091,Development Complete,2025-02-03,2025-02-14,Completed,4
ADV-0091,Testing Complete - Data Analytics Project 091,Testing Complete,2025-05-02,2025-05-11,Completed,1
ADV-0091,Deployment - Data Analytics Project 091,Deployment,2025-07-30,2025-08-02,Completed,5
ADV-0092,Initiation - Software Development Project 092,Initiation,2024-04-27,2024-05-11,Completed,3
ADV-0092,Planning Complete - Software Development Project 092,Planning Complete,2024-09-27,2024-10-10,Completed,4
ADV-0092,Design Approved - Software Development Project 092,Design Approved,2025-02-27,2025-02-26,Completed,2
ADV-0092,Development Complete - Software Development Project 092,Development Complete,2025-07-30,2025-08-10,Completed,5
ADV-0093,Initiation - Data Analytics Project 093,Initiation,2023-07-07,2023-07-17,Completed,4
ADV-0093,Planning Complete - Data Analytics Project 093,Planning Complete,2024-01-11,2024-01-14,Completed,3
ADV-0093,Design Approved - Data Analytics Project 093,Design Approved,2024-07-18,2024-07-27,Completed,2
ADV-0093,Development Complete - Data Analytics Project 093,Development Complete,2025-01-22,2025-01-30,Completed,3
ADV-0093,Testing Complete - Data Analytics Project 093,Testing Complete,2025-07-30,2025-08-05,Completed,1
ADV-0094,Initiation - Data Analytics Project 094,Initiation,2024-04-07,2024-04-08,Completed,1
ADV-0094,Planning Complete - Data Analytics Project 094,Planning Complete,2024-08-04,2024-08-11,Completed,2
ADV-0094,Design Approved - Data Analytics Project 094,Design Approved,2024-12-02,2024-12-01,Completed,5
ADV-0094,Development Complete - Data Analytics Project 094,Development Complete,2025-03-31,2025-03-29,Completed,2
ADV-0094,Testing Complete - Data Analytics Project 094,Testing Complete,2025-07-29,2025-08-08,Completed,1
ADV-0095,Initiation - Software Development Project 095,Initiation,2024-04-21,2024-04-24,Completed,3
ADV-0095,Planning Complete - Software Development Project 095,Planning Complete,2024-08-15,2024-08-10,Completed,4
ADV-0095,Design Approved - Software Development Project 095,Design Approved,2024-12-09,2024-12-16,Completed,5
ADV-0095,Development Complete - Software Development Project 095,Development Complete,2025-04-04,2025-04-11,Completed,2
ADV-0095,Testing Complete - Software Development Project 095,Testing Complete,2025-07-30,2025-08-02,Completed,4
ADV-0096,Initiation - Data Analytics Project 096,Initiation,2023-08-27,2023-09-08,Completed,3
ADV-0096,Planning Complete - Data Analytics Project 096,Planning Complete,2023-09-17,2023-09-17,Completed,4
ADV-0096,Design Approved - Data Analytics Project 096,Design Approved,2023-10-08,2023-10-14,Completed,5
ADV-0096,Development Complete - Data Analytics Project 096,Development Complete,2023-10-30,2023-11-01,Completed,1
ADV-0096,Testing Complete - Data Analytics Project 096,Testing Complete,2023-11-20,2023-11-18,Completed,5
ADV-0096,Deployment - Data Analytics Project 096,Deployment,2023-12-11,2023-12-16,Completed,3
ADV-0096,Go-Live - Data Analytics Project 096,Go-Live,2024-01-02,2024-01-09,Completed,1
ADV-0097,Initiation - Cloud Migration Project 097,Initiation,2024-02-29,2024-03-11,Completed,2
ADV-0097,Planning Complete - Cloud Migration Project 097,Planning Complete,2024-07-07,2024-07-13,Completed,5
ADV-0097,Design Approved - Cloud Migration Project 097,Design Approved,2024-11-13,2024-11-17,Completed,5
ADV-0097,Development Complete - Cloud Migration Project 097,Development Complete,2025-03-22,2025-03-21,Completed,2
ADV-0097,Testing Complete - Cloud Migration Project 097,Testing Complete,2025-07-30,2025-08-10,Completed,4
ADV-0098,Initiation - Digital Transformation Project 098,Initiation,2024-06-08,2024-06-16,Completed,2
ADV-0098,Planning Complete - Digital Transformation Project 098,Planning Complete,2024-08-16,2024-08-13,Completed,1
ADV-0098,Design Approved - Digital Transformation Project 098,Design Approved,2024-10-25,2024-10-22,Completed,1
ADV-0098,Development Complete - Digital Transformation Project 098,Development Complete,2025-01-02,2025-01-08,Completed,4
ADV-0098,Testing Complete - Digital Transformation Project 098,Testing Complete,2025-03-13,2025-03-18,Completed,1
ADV-0098,Deployment - Digital Transformation Project 098,Deployment,2025-05-21,2025-05-19,Completed,2
ADV-0098,Go-Live - Digital Transformation Project 098,Go-Live,2025-07-30,2025-07-30,Completed,1
ADV-0099,Initiation - Digital Transformation Project 099,Initiation,2023-10-04,2023-10-18,Completed,4
ADV-0099,Planning Complete - Digital Transformation Project 099,Planning Complete,2024-03-18,2024-03-28,Completed,1
ADV-0099,Design Approved - Digital Transformation Project 099,Design Approved,2024-08-31,2024-09-02,Completed,4
ADV-0099,Development Complete - Digital Transformation Project 099,Development Complete,2025-02-13,2025-02-19,Completed,3
ADV-0099,Testing Complete - Digital Transformation Project 099,Testing Complete,2025-07-30,2025-08-03,Completed,3
ADV-0100,Initiation - Software Development Project 100,Initiation,2023-08-23,2023-09-01,Completed,1
ADV-0100,Planning Complete - Software Development Project 100,Planning Complete,2024-01-11,2024-01-07,Completed,5
ADV-0100,Design Approved - Software Development Project 100,Design Approved,2024-05-31,2024-05-31,Completed,5
ADV-0100,Development Complete - Software Development Project 100,Development Complete,2024-10-20,2024-10-15,Completed,2
ADV-0100,Testing Complete - Software Development Project 100,Testing Complete,2025-03-10,2025-03-11,Completed,4
ADV-0100,Deployment - Software Development Project 100,Deployment,2025-07-30,2025-08-05,Completed,3
ADV-0101,Initiation - AI/ML Implementation Project 101,Initiation,2024-01-23,2024-01-21,Completed,5
ADV-0101,Planning Complete - AI/ML Implementation Project 101,Planning Complete,2024-02-22,2024-02-23,Completed,4
ADV-0101,Design Approved - AI/ML Implementation Project 101,Design Approved,2024-03-24,2024-04-02,Completed,3
ADV-0101,Development Complete - AI/ML Implementation Project 101,Development Complete,2024-04-24,2024-04-27,Completed,3
ADV-0101,Testing Complete - AI/ML Implementation Project 101,Testing Complete,2024-05-25,2024-05-27,Completed,1
ADV-0101,Deployment - AI/ML Implementation Project 101,Deployment,2024-06-25,2024-06-27,Completed,5
ADV-0101,Go-Live - AI/ML Implementation Project 101,Go-Live,2024-07-26,2024-07-24,Completed,3
ADV-0102,Initiation - Software Development Project 102,Initiation,2023-12-12,2023-12-15,Completed,5
